"legacy_url","legacy_title","legacy_word_count","candidate_1_slug","candidate_1_title","candidate_1_score","candidate_2_slug","candidate_2_title","candidate_2_score","candidate_3_slug","candidate_3_title","candidate_3_score","decision","notes"
"https://comint.by/cifrovaya-pechat/garantijnye-talony/","Гарантийные талоны","116","garantiynye-talony","Гарантийные талоны","1.000","garantiynye-plomby-pechatnye","Гарантийные пломбы печатные","0.400","akrilovye-paneli","Акриловые панели","0.000","",""
"https://comint.by/cifrovaya-pechat/instrukciya/","Печать инструкций","96","pechat-instruktsiy","Печать инструкций","1.000","uf-pechat","УФ печать","0.667","pechat-bannerov","Печать баннеров","0.500","",""
"https://comint.by/cifrovaya-pechat/izgotovlenie-birok-i-yarlykov/","Изготовление бирок и ярлыков","165","izgotovlenie-birok-i-yarlykov","Изготовление бирок и ярлыков","1.000","izgotovlenie-znakov-bezopasnosti","Изготовление знаков безопасности","0.333","izgotovlenie-i-pechat-beydzhey","Изготовление и печать бейджей","0.333","",""
"https://comint.by/cifrovaya-pechat/izgotovlenie-i-pechat-otkrytok/","Изготовление и печать открыток","149","izgotovlenie-i-pechat-otkrytok","Изготовление и печать открыток","1.000","izgotovlenie-i-pechat-beydzhey","Изготовление и печать бейджей","0.667","izgotovlenie-i-pechat-vizitok","Изготовление и печать визиток","0.667","",""
"https://comint.by/cifrovaya-pechat/izgotovlenie-i-pechat-vizitok/","Изготовление и печать визиток","286","izgotovlenie-i-pechat-vizitok","Изготовление и печать визиток","1.000","izgotovlenie-i-pechat-beydzhey","Изготовление и печать бейджей","0.667","izgotovlenie-i-pechat-otkrytok","Изготовление и печать открыток","0.667","",""
"https://comint.by/cifrovaya-pechat/kartochki-s-telefonom-dlya-mashin/","Карточки с номером телефона для машин","107","kartochki-s-nomerom-telefona-dlya-mashin","Карточки с номером телефона для машин","1.000","skinali-dlya-kuhni","Скинали для кухни","0.250","suveniry-dlya-medrabotnikov","Сувениры для медработников","0.250","",""
"https://comint.by/cifrovaya-pechat/katalogi/","Печать каталогов","57","pechat-katalogov","Печать каталогов","1.000","uf-pechat","УФ печать","0.667","pechat-bannerov","Печать баннеров","0.500","",""
"https://comint.by/cifrovaya-pechat/magnityi-blok/","Магниты и блоки для записи","27","magnity-i-bloki-dlya-zapisi","Магниты и блоки для записи","1.000","bloki-dlya-zapisey-kub-bloki","Блоки для записей, куб-блоки","0.500","skinali-dlya-kuhni","Скинали для кухни","0.286","",""
"https://comint.by/cifrovaya-pechat/papki/","Печать и изготовление фирменных папок","190","pechat-i-izgotovlenie-firmennyh-papok","Печать и изготовление фирменных папок","1.000","izgotovlenie-i-pechat-beydzhey","Изготовление и печать бейджей","0.571","izgotovlenie-i-pechat-vizitok","Изготовление и печать визиток","0.571","",""
"https://comint.by/cifrovaya-pechat/pechat-firmennyh-blankov/","Печать фирменных бланков","156","pechat-firmennyh-blankov","Печать фирменных бланков","1.000","pechat-i-izgotovlenie-firmennyh-papok","Печать и изготовление фирменных папок","0.571","uf-pechat","УФ печать","0.500","",""
"https://comint.by/cifrovaya-pechat/pechat-listovok/","Печать рекламных листовок","348","pechat-reklamnyh-listovok","Печать рекламных листовок","1.000","pechat-reklamnyh-plakatov-i-afish","Печать рекламных плакатов и афиш","0.571","uf-pechat","УФ печать","0.500","",""
"https://comint.by/cifrovaya-pechat/pechat-menyu/","Печать меню","109","pechat-menyu","Печать меню","1.000","uf-pechat","УФ печать","0.667","pechat-bannerov","Печать баннеров","0.500","",""
"https://comint.by/cifrovaya-pechat/plakaty-afishy/","Печать рекламных плакатов и афиш","172","pechat-reklamnyh-plakatov-i-afish","Печать рекламных плакатов и афиш","1.000","pechat-reklamnyh-listovok","Печать рекламных листовок","0.571","pechat-posterov-i-plakatov-bolshogo-formata","Печать постеров и плакатов большого формата","0.444","",""
"https://comint.by/cifrovaya-pechat/price_list/","Разработка и печать прайс-листов","15","razrabotka-i-pechat-prays-listov","Разработка и печать прайс-листов","1.000","uf-pechat","УФ печать","0.400","pechat-bannerov","Печать баннеров","0.333","",""
